iter	Logloss
0	0.679363759
1	0.667409814
2	0.6555875066
3	0.6421663628
4	0.6313741254
5	0.6206919319
6	0.6094710166
7	0.5999579201
8	0.5919722056
9	0.5824599845
10	0.5750558028
11	0.567741601
12	0.5607053241
13	0.5550496286
14	0.5484834717
15	0.5424984139
16	0.5351785976
17	0.529770598
18	0.5248091096
19	0.520228208
20	0.5150326073
21	0.5120553157
22	0.5077272794
23	0.5028311914
24	0.4992578715
25	0.496309938
26	0.4929818521
27	0.4894131827
28	0.4858251569
29	0.481365141
30	0.4779524434
31	0.4749167676
32	0.4724507648
33	0.469773495
34	0.4657476265
35	0.4632590882
36	0.4595580718
37	0.4570273781
38	0.4537932554
39	0.4507262561
40	0.4478973369
41	0.4458559527
42	0.443304347
43	0.4411080892
44	0.4393634609
45	0.4376471736
46	0.435272437
47	0.4324613378
48	0.4306097544
49	0.4293546618
50	0.4271907661
51	0.4257417495
52	0.4244235283
53	0.4222204395
54	0.4211432956
55	0.4183068681
56	0.4167349134
57	0.4151130924
58	0.4135511964
59	0.4123366562
60	0.4104648039
61	0.4095148944
62	0.4078964285
63	0.406953283
64	0.4052454372
65	0.4029831495
66	0.4018665532
67	0.4003312047
68	0.3990139273
69	0.3981243357
70	0.3970104402
71	0.395694951
72	0.3942709493
73	0.392560158
74	0.3915757878
75	0.3897884542
76	0.3884613252
77	0.3873640426
78	0.385603575
79	0.384524322
80	0.3829008942
81	0.3816806299
82	0.3802758108
83	0.3784226565
84	0.3763565495
85	0.3751800167
86	0.3742056015
87	0.3733066247
88	0.3711879833
89	0.3696310075
90	0.3681466592
91	0.3672573565
92	0.3661216558
93	0.36511595
94	0.3637772409
95	0.3617024835
96	0.3605369294
97	0.3600303964
98	0.3594553987
99	0.3578623867
100	0.3566766629
101	0.3558646324
102	0.3547723985
103	0.3538738845
104	0.3527212101
105	0.3512656159
106	0.3501678618
107	0.3490640982
108	0.3479693713
109	0.3467687112
110	0.3460374731
111	0.3450918545
112	0.3438577635
113	0.3429740138
114	0.3426317338
115	0.3417246858
116	0.3409237053
117	0.3395720848
118	0.3388682759
119	0.3383924051
120	0.3379078351
121	0.3373322782
122	0.3365399566
123	0.3353153155
124	0.3343212629
125	0.3332919931
126	0.3327547812
127	0.332393417
128	0.3313462683
129	0.3302820096
130	0.3298396992
131	0.3292507743
132	0.3274757449
133	0.3266842834
134	0.3257426201
135	0.3248502509
136	0.3237336839
