iter	Passed	Remaining
0	12	14793
1	20	12049
2	29	11746
3	35	10683
4	43	10400
5	50	10145
6	60	10231
7	66	9942
8	73	9779
9	80	9630
10	86	9401
11	93	9279
12	99	9047
13	106	9042
14	112	8891
15	117	8714
16	124	8654
17	129	8528
18	134	8385
19	142	8394
20	148	8318
21	154	8269
22	159	8186
23	165	8109
24	171	8061
25	176	7969
26	181	7891
27	187	7857
28	192	7792
29	198	7723
30	205	7743
31	210	7666
32	215	7613
33	222	7644
34	228	7590
35	234	7569
36	240	7556
37	245	7510
38	251	7494
39	256	7449
40	261	7396
41	267	7379
42	273	7364
43	279	7337
44	285	7328
45	291	7300
46	296	7265
47	302	7266
48	307	7233
49	313	7201
50	320	7225
51	326	7214
52	333	7225
53	340	7222
54	346	7206
55	352	7202
56	357	7170
57	362	7137
58	369	7150
59	374	7115
60	379	7082
61	386	7091
62	391	7065
63	398	7066
64	402	7036
65	407	7009
66	414	7009
67	420	6992
68	425	6968
69	431	6969
70	437	6954
71	442	6938
72	449	6940
73	454	6916
74	459	6894
75	465	6890
76	470	6866
77	476	6848
78	482	6844
79	487	6828
80	493	6815
81	500	6827
82	505	6805
83	511	6798
84	517	6793
85	523	6775
86	530	6781
87	535	6765
88	541	6754
89	548	6763
90	553	6740
91	558	6720
92	563	6710
93	568	6692
94	574	6677
95	580	6673
96	585	6657
97	590	6638
98	596	6636
99	601	6621
100	606	6603
101	613	6601
102	618	6588
103	623	6575
104	631	6583
105	636	6572
106	642	6565
107	648	6559
108	654	6548
109	660	6545
110	666	6539
111	672	6532
112	680	6545
113	685	6533
114	691	6520
115	696	6505
116	701	6493
117	708	6498
118	714	6489
119	721	6490
120	728	6491
121	733	6482
122	741	6489
123	747	6487
124	753	6479
125	760	6480
126	766	6475
127	772	6466
128	778	6461
129	783	6451
130	790	6452
131	796	6443
132	801	6431
133	809	6436
134	814	6424
135	819	6411
136	826	6411
137	831	6396
138	836	6384
139	844	6392
140	849	6383
141	856	6378
142	861	6370
143	867	6358
144	873	6357
145	879	6346
146	884	6335
147	891	6334
148	896	6321
149	901	6310
150	909	6319
151	915	6315
152	923	6320
153	930	6320
154	939	6333
155	946	6333
156	951	6322
157	958	6320
158	963	6308
159	970	6307
160	976	6300
161	981	6289
162	987	6284
163	992	6271
164	997	6258
165	1004	6255
166	1009	6245
167	1014	6234
168	1021	6234
169	1027	6223
170	1033	6219
171	1039	6212
172	1045	6204
173	1052	6206
174	1057	6194
175	1062	6183
176	1070	6185
177	1075	6177
178	1081	6166
179	1090	6178
180	1096	6173
181	1106	6191
182	1113	6189
183	1122	6198
184	1129	6198
185	1136	6196
186	1141	6184
187	1146	6171
188	1153	6169
189	1158	6160
190	1165	6159
191	1172	6154
192	1177	6144
193	1185	6147
194	1190	6137
195	1196	6129
196	1201	6118
197	1207	6111
198	1214	6108
199	1219	6099
200	1225	6089
201	1231	6082
202	1236	6073
203	1241	6063
204	1250	6069
205	1257	6066
206	1265	6070
207	1270	6060
208	1276	6050
209	1283	6052
210	1288	6041
211	1295	6037
212	1300	6027
213	1305	6017
214	1312	6011
215	1317	6000
216	1322	5990
217	1328	5985
218	1333	5974
219	1338	5963
220	1345	5961
221	1351	5955
222	1357	5947
223	1364	5943
224	1369	5935
225	1376	5930
226	1383	5930
227	1389	5924
228	1396	5921
229	1402	5913
230	1407	5902
231	1414	5900
232	1420	5893
233	1427	5893
234	1433	5884
235	1438	5876
236	1445	5872
237	1450	5863
238	1455	5852
239	1461	5847
240	1467	5838
241	1472	5828
242	1480	5829
243	1485	5819
244	1492	5818
245	1498	5812
246	1504	5804
247	1511	5801
248	1516	5791
249	1521	5782
250	1528	5778
251	1533	5769
252	1539	5762
253	1545	5757
254	1551	5748
255	1557	5744
256	1563	5735
257	1568	5725
258	1575	5725
259	1581	5717
260	1587	5709
261	1594	5709
262	1600	5700
263	1606	5694
264	1612	5688
265	1617	5679
266	1624	5676
267	1629	5666
268	1634	5656
269	1641	5652
270	1646	5645
271	1651	5635
272	1658	5631
273	1663	5623
274	1668	5612
275	1676	5613
276	1681	5602
277	1687	5595
278	1692	5588
279	1698	5580
280	1705	5577
281	1711	5570
282	1715	5559
283	1722	5556
284	1727	5546
285	1732	5537
286	1739	5532
287	1743	5521
288	1749	5513
289	1755	5509
290	1760	5500
291	1765	5490
292	1772	5486
293	1777	5476
294	1782	5469
295	1790	5466
296	1795	5460
297	1803	5458
298	1808	5450
299	1813	5440
300	1820	5437
301	1825	5428
302	1830	5419
303	1836	5413
304	1841	5404
305	1846	5394
306	1853	5390
307	1858	5383
308	1864	5375
309	1870	5370
310	1876	5363
311	1882	5358
312	1887	5349
313	1892	5340
314	1899	5336
315	1905	5330
316	1910	5322
317	1917	5317
318	1922	5309
319	1927	5299
320	1933	5294
321	1938	5286
322	1943	5277
323	1950	5274
324	1956	5267
325	1961	5258
326	1983	5296
327	1988	5286
328	1992	5275
329	1998	5268
330	2004	5261
331	2009	5254
332	2017	5252
333	2022	5244
334	2028	5238
335	2034	5230
336	2039	5222
337	2045	5215
338	2050	5208
339	2055	5200
340	2061	5193
341	2067	5185
342	2071	5176
343	2077	5170
344	2082	5161
345	2087	5152
346	2092	5143
347	2098	5138
348	2103	5129
349	2108	5121
350	2114	5115
351	2120	5107
352	2126	5103
353	2132	5095
354	2137	5088
355	2143	5081
356	2148	5074
357	2153	5065
358	2159	5059
359	2164	5050
360	2169	5041
361	2175	5036
362	2180	5028
363	2185	5020
364	2192	5016
365	2198	5008
366	2202	5000
367	2209	4996
368	2215	4989
369	2220	4980
370	2226	4975
371	2231	4965
372	2235	4956
373	2241	4950
374	2246	4941
375	2250	4932
376	2255	4924
377	2261	4917
378	2266	4908
379	2270	4899
380	2276	4894
381	2281	4885
382	2286	4876
383	2292	4870
384	2296	4861
385	2301	4852
386	2307	4846
387	2312	4838
